
=== Eastern Mediterranean (5295 records) ===
TrackNumber  Vessel_Name                    IMO        Flag  Location                  Country             
--------------------------------------------------------------------------------------------------------------
LGS0203394   AITOLIKOS                      9386483    LR    Iskenderun                Turkey              
SEL1804710   AITOLIKOS                      9386483    LR    Iskenderun                Turkey              
MCB0283126   APL MIAMI                      9597549    SG    Mersin                    Turkey              
MCB0276814   APL PHOENIX                    9597501    SG    Iskenderun                Turkey              
MCB0279128   APL PHOENIX                    9597501    SG    Iskenderun                Turkey              
MCB0279129   APL PHOENIX                    9597501    SG    Iskenderun                Turkey              
NAM8029895   ARGUS                          9262716    LR    Iskenderun                Turkey              
NAM8033191   ARGUS                          9262716    LR    Iskenderun                Turkey              
NAM8165703   ARGUS                          9262716    LR    Iskenderun                Turkey              
NAM8283906   ARGUS                          9262716    LR    Iskenderun                Turkey              
NAM8283907   ARGUS                          9262716    LR    Iskenderun                Turkey              
SEL1864043   BELITAKI                       9152923    LR    Mersin                    Turkey              
SEL1864110   BELITAKI                       9152923    LR    Mersin                    Turkey              
SEL1865444   BELITAKI                       9152923    LR    Mersin                    Turkey              
SEL1876412A  BELITAKI                       9152923    LR    Beirut                    Lebanon             
SEL1876412A  BELITAKI                       9152923    LR    Mersin                    Turkey              
SEL1876412B  BELITAKI                       9152923    LR    Beirut                    Lebanon             
SEL1876412B  BELITAKI                       9152923    LR    Mersin                    Turkey              
NAM9452043   BERNHARD SCHULTE               9484546    SG    Iskenderun                Turkey              
NAM9454656   BERNHARD SCHULTE               9484546    SG    Iskenderun                Turkey              
NAM9454657   BERNHARD SCHULTE               9484546    SG    Iskenderun                Turkey              
NAM9454659   BERNHARD SCHULTE               9484546    SG    Iskenderun                Turkey              
NAM9455788   BERNHARD SCHULTE               9484546    SG    Iskenderun                Turkey              
LGS0203394   BHARANI                        9448827    PA    Iskenderun                Turkey              
NAM7951970   BRIGHTON                       9332846    GB    Iskenderun                Turkey              
NAM7958544   BRIGHTON                       9332846    GB    Iskenderun                Turkey              
NAM8103542   BRIGHTON                       9332846    GB    Iskenderun                Turkey              
NAM8223881   BRIGHTON                       9332846    GB    Iskenderun                Turkey              
SEL1864110   CMA CGM ADONIS                 9882528    MT    Mersin                    Turkey              
ANT1865850   CMA CGM ALCAZAR                9335197    PA    Mersin                    Turkey              
SEL1797899   CMA CGM ALCAZAR                9335197    PA    Alexandria                Egypt               
SEL1797899   CMA CGM ALCAZAR                9335197    PA    Mersin                    Turkey              
SEL1864509   CMA CGM ANDROMEDA              9410727    MT    Alexandria                Egypt               
SEL1864509   CMA CGM ANDROMEDA              9410727    MT    Iskenderun                Turkey              
SEL1804710   CMA CGM BALI                   9867827    MT    Iskenderun                Turkey              
MCB0273367   CMA CGM BARRACUDA              9322475    MT    Mersin                    Turkey              
NAM7951970   CMA CGM BARRACUDA              9322475    MT    Iskenderun                Turkey              
NAM7958544   CMA CGM BARRACUDA              9322475    MT    Iskenderun                Turkey              
NAM8224005   CMA CGM BARRACUDA              9322475    MT    Iskenderun                Turkey              
MCB0308143   CMA CGM BUTTERFLY              9365790    BS    Alexandria                Egypt               
MCB0308143   CMA CGM BUTTERFLY              9365790    BS    Iskenderun                Turkey              
MCB0308149   CMA CGM BUTTERFLY              9365790    BS    Alexandria                Egypt               
MCB0308149   CMA CGM BUTTERFLY              9365790    BS    Iskenderun                Turkey              
SEL1875303   CMA CGM BUTTERFLY              9365790    BS    Mersin                    Turkey              
SEL1797899   CMA CGM CALLISTO               9410753    MT    Alexandria                Egypt               
SEL1797899   CMA CGM CALLISTO               9410753    MT    Mersin                    Turkey              
SEL1885599   CMA CGM CENTAURUS              9410777    MT    Iskenderun                Turkey              
ANT1893823   CMA CGM CHOPIN                 9280603    MT    Mersin                    Turkey              
CFA0838503   CMA CGM CHOPIN                 9280603    MT    Port Said                 Egypt               
CFA0838504   CMA CGM CHOPIN                 9280603    MT    Port Said                 Egypt               
CFA0838514   CMA CGM CHOPIN                 9280603    MT    Port Said                 Egypt               
CFA0845909   CMA CGM CHOPIN                 9280603    MT    Port Said                 Egypt               
CFA0848229   CMA CGM CHOPIN                 9280603    MT    Port Said                 Egypt               
MCB0283126   CMA CGM CHOPIN                 9280603    MT    Mersin                    Turkey              
NAM7870987   CMA CGM CHOPIN                 9280603    MT    Mersin                    Turkey              
NAM8166017   CMA CGM CHOPIN                 9280603    MT    Iskenderun                Turkey              
NAM8168558   CMA CGM CHOPIN                 9280603    MT    Iskenderun                Turkey              
SEL2023276   CMA CGM CHOPIN                 9280603    MT    Alexandria                Egypt               
SEL2023276   CMA CGM CHOPIN                 9280603    MT    Mersin                    Turkey              
SEL1876412A  CMA CGM COBALT                 9996680    MT    Beirut                    Lebanon             
SEL1876412A  CMA CGM COBALT                 9996680    MT    Mersin                    Turkey              
SEL1876412B  CMA CGM COBALT                 9996680    MT    Beirut                    Lebanon             
SEL1876412B  CMA CGM COBALT                 9996680    MT    Mersin                    Turkey              
SEL1879549   CMA CGM COBALT                 9996680    MT    Iskenderun                Turkey              
SEL1879549   CMA CGM COBALT                 9996680    MT    Mersin                    Turkey              
SEL1879549   CMA CGM COBALT                 9996680    MT    Tripoli                   Lebanon             
SEL1879620   CMA CGM COBALT                 9996680    MT    Iskenderun                Turkey              
SEL1879620   CMA CGM COBALT                 9996680    MT    Tripoli                   Lebanon             
SGN2722307   CMA CGM COBALT                 9996680    MT    Alexandria                Egypt               
SEL1864043   CMA CGM DALILA                 9450624    MT    Mersin                    Turkey              
SEL1864074   CMA CGM DALILA                 9450624    MT    Mersin                    Turkey              
MCB0319275   CMA CGM DIAMOND                9405033    IN    Iskenderun                Turkey              
MCB0319275   CMA CGM DIAMOND                9405033    IN    Port Said                 Egypt               
MCB0319275   CMA CGM DON PASCUALE           9318101    MT    Iskenderun                Turkey              
MCB0319275   CMA CGM DON PASCUALE           9318101    MT    Port Said                 Egypt               
MCB0321133   CMA CGM DON PASCUALE           9318101    MT    Iskenderun                Turkey              
MCB0321133   CMA CGM DON PASCUALE           9318101    MT    Port Said                 Egypt               
MCB0321218   CMA CGM DON PASCUALE           9318101    MT    Iskenderun                Turkey              
MCB0321218   CMA CGM DON PASCUALE           9318101    MT    Port Said                 Egypt               
MCB0285270   CMA CGM FORT ST PIERRE         9261891    MT    Beirut                    Lebanon             
MCB0286738   CMA CGM FORT ST PIERRE         9261891    MT    Mersin                    Turkey              
MCB0291319   CMA CGM FORT ST PIERRE         9261891    MT    Iskenderun                Turkey              
MCB0292310   CMA CGM FORT ST PIERRE         9261891    MT    Beirut                    Lebanon             
MCB0293821   CMA CGM FORT ST PIERRE         9261891    MT    Beirut                    Lebanon             
MCB0308143   CMA CGM FORT ST PIERRE         9261891    MT    Alexandria                Egypt               
MCB0308143   CMA CGM FORT ST PIERRE         9261891    MT    Iskenderun                Turkey              
MCB0308149   CMA CGM FORT ST PIERRE         9261891    MT    Alexandria                Egypt               
MCB0308149   CMA CGM FORT ST PIERRE         9261891    MT    Iskenderun                Turkey              
SEL1797899   CMA CGM GANGES                 9718117    DK    Alexandria                Egypt               
SEL1797899   CMA CGM GANGES                 9718117    DK    Mersin                    Turkey              
SEL2030923   CMA CGM HERMES                 9882499    MT    Mersin                    Turkey              
SEL1913515   CMA CGM IRON                   9996678    MT    Beirut                    Lebanon             
SEL1913515   CMA CGM IRON                   9996678    MT    Mersin                    Turkey              
ANT1930983   CMA CGM KHAO SOK               9925837    MT    Mersin                    Turkey              
ANT1930984   CMA CGM KHAO SOK               9925837    MT    Mersin                    Turkey              
MCB0292010   CMA CGM KHAO SOK               9925837    MT    Mersin                    Turkey              
MCB0292016   CMA CGM KHAO SOK               9925837    MT    Mersin                    Turkey              
MCB0292125   CMA CGM KHAO SOK               9925837    MT    Mersin                    Turkey              
MCB0292128   CMA CGM KHAO SOK               9925837    MT    Mersin                    Turkey              
MCB0315282   CMA CGM KHAO SOK               9925837    MT    Alexandria                Egypt               
MCB0315282   CMA CGM KHAO SOK               9925837    MT    Iskenderun                Turkey              
NAM8007051   CMA CGM KHAO SOK               9925837    MT    Iskenderun                Turkey              
ANT1865850   CMA CGM LAMARTINE              9409194    MT    Mersin                    Turkey              
MCB0279128   CMA CGM LAMARTINE              9409194    MT    Iskenderun                Turkey              
MCB0279129   CMA CGM LAMARTINE              9409194    MT    Iskenderun                Turkey              
NAM9454661   CMA CGM LAPIS                  9386495    LR    Iskenderun                Turkey              
NAM9459498   CMA CGM LAPIS                  9386495    LR    Iskenderun                Turkey              
NAM9459733   CMA CGM LAPIS                  9386495    LR    Iskenderun                Turkey              
NAM9460325   CMA CGM LAPIS                  9386495    LR    Iskenderun                Turkey              
CFA0845899   CMA CGM LISA MARIE             9729099    MT    Port Said                 Egypt               
SEL1864509   CMA CGM LISA MARIE             9729099    MT    Alexandria                Egypt               
SEL1864509   CMA CGM LISA MARIE             9729099    MT    Iskenderun                Turkey              
SEL1865444   CMA CGM LISA MARIE             9729099    MT    Mersin                    Turkey              
MCB0291528   CMA CGM LOUGA                  9745550    MT    Beirut                    Lebanon             
SEL1876412A  CMA CGM MAPUTO                 9491628    MT    Beirut                    Lebanon             
SEL1876412A  CMA CGM MAPUTO                 9491628    MT    Mersin                    Turkey              
SEL1876412B  CMA CGM MAPUTO                 9491628    MT    Beirut                    Lebanon             
SEL1876412B  CMA CGM MAPUTO                 9491628    MT    Mersin                    Turkey              
SEL1865444   CMA CGM MAUI                   9938157    FR    Mersin                    Turkey              
MCB0283126   CMA CGM MENDELSSOHN            9449106    MT    Mersin                    Turkey              
MCB0286097   CMA CGM MENDELSSOHN            9449106    MT    Mersin                    Turkey              
SEL2015439   CMA CGM MONTE CRISTO           1021051    MT    Beirut                    Lebanon             
SEL2023276   CMA CGM MONTE CRISTO           1021051    MT    Alexandria                Egypt               
SEL2023276   CMA CGM MONTE CRISTO           1021051    MT    Mersin                    Turkey              
SEL2015439   CMA CGM MONTREAL               9363417    MT    Beirut                    Lebanon             
ANT1973513   CMA CGM MUSSET                 9406611    MT    Mersin                    Turkey              
LGS0203394   CMA CGM MUSSET                 9406611    MT    Iskenderun                Turkey              
MCB0292010   CMA CGM MUSSET                 9406611    MT    Mersin                    Turkey              
MCB0292016   CMA CGM MUSSET                 9406611    MT    Mersin                    Turkey              
MCB0292125   CMA CGM MUSSET                 9406611    MT    Mersin                    Turkey              
MCB0292128   CMA CGM MUSSET                 9406611    MT    Mersin                    Turkey              
NAM8165703   CMA CGM MUSSET                 9406611    MT    Iskenderun                Turkey              
NAM8166017   CMA CGM MUSSET                 9406611    MT    Iskenderun                Turkey              
NAM8168558   CMA CGM MUSSET                 9406611    MT    Iskenderun                Turkey              
MCB0291528   CMA CGM NAVEGANTES             9303780    MT    Beirut                    Lebanon             
MCB0298322   CMA CGM NAVEGANTES             9303780    MT    Iskenderun                Turkey              
MCB0298787   CMA CGM NAVEGANTES             9303780    MT    Iskenderun                Turkey              
MCB0292010   CMA CGM NINGBO                 9295218    MT    Mersin                    Turkey              
MCB0292016   CMA CGM NINGBO                 9295218    MT    Mersin                    Turkey              
MCB0292125   CMA CGM NINGBO                 9295218    MT    Mersin                    Turkey              
MCB0292128   CMA CGM NINGBO                 9295218    MT    Mersin                    Turkey              
SEL1903887   CMA CGM OSIRIS                 9882504    MT    Beirut                    Lebanon             
